@RELATION	text2arff

@ATTRIBUTE	tanimi_nedir	STRING
@ATTRIBUTE	kim_ne_yapar	STRING
@ATTRIBUTE	nasil_yapilir	STRING
@ATTRIBUTE	nicin_yapilir	STRING
@ATTRIBUTE	ne_olunca_yapilir	STRING
@ATTRIBUTE	yapinca_ne_olur	STRING
@ATTRIBUTE	fiziksel_zihinsel	STRING
@ATTRIBUTE	kim_ne_ile_yapilir	STRING
@ATTRIBUTE	ney_kime_yapilir	STRING
@ATTRIBUTE	ney_kimi_yapilir	STRING
@ATTRIBUTE	nerede_yapilir	STRING
@ATTRIBUTE	class	{acele_etmek,aciklamak,acilmak,acmak,affetmek,ag,agac,aglamak,akil_etmek,alay_etmek,alismak,almak,anlamak,anlatmak,anmak,araba_surmek,aramak,artmak,arzu_etmek,asik_olmak,asmak,atamak,ates_etmek,atlamak,atmak,ayaga_kalkmak,ayarlamak,ayirmak,ayrilmak,bagirmak,bagislamak,baglamak,bahsetmek,bakmak,balik_tutmak,banyo_yapmak,barismak,basarmak,baslamak,baslatmak,basmak,begenmek,beklemek,belgelemek,belirlemek,belirtmek,benzemek,bikmak,bildirmek,bilmek,binmek,bir_araya_gelmek,birakmak,bitirmek,bitmek,bolmek,borc_almak,borc_vermek,bozdurmak,bozmak,bulmak,bulunmak,bulusmak,buyumek,cagirmak,cagrida_bulunmak,calismak,calmak,can_almak,can_vermek,cani_sikilmak,canlandirmak,canlanmak,canta,carpismak,carpmak,catal,cati,cavdar,cay,cekmece,cekmek,cekyat,celik,cerceve,cereyan_etmek,cevap_vermek,cevaplandirmak,cevirmek,ceza_vermek,cezalandirmak,cicek,cikarmak,cikartma,cikmak,cikolata,cikrik,cimento,cini,civi,cizmek,cokelek,corap,cozmek,cuval,dagitmak,daire,dal,damga,dans_etmek,dantel,davam_etmek,davet_etmek,davranmak,degerlendirmek,degismek,degistirmek,demek,denemek,ders_calismak,desteklemek,deterjan,devam_etmek,dikkat_etmek,dile_getirmek,dilemek,dinlemek,dinlenmek,dogmak,dogrulamak,dokmek,dokunmak,dolasmak,donmek,dovmek,dua_etmek,durdurmak,durmak,dus_yapmak,dusmek,dusunmek,duvar,duymak,duzenlemek,eglenmek,ele_gecirmek,emekli_olmak,emretmek,endise_etmek,engel_olmak,engellemek,ertelemek,etkilemek,ev_tutmak,evlenme_teklif_etmek,evlenmek,ezberlemek,farketmek,farzetmek,feshetmek,fotokopi_cekmek,fren_yapmak,gec_kalmak,gecikmek,gecirmek,gecmek,gelismek,gelistirmek,gelmek,gerceklesmek,gerceklestirmek,gerekmek,geri_vermek,getirmek,gezmek,girmek,gitmek,giyinmek,giymek,gizlemek,gocmek,gondermek,gormek,gorunmek,gorusmek,gostermek,goturmek,goz_atmak,gozaltina_almak,gozden_gecirmek,gozukmek,grev_yapmak,gulmek,guzellesmek,haber_vermek,harcamak,hatirlamak,hatirlatmak,hazirlamak,hazirlanmak,heyecan_duymak,hissetmek,hosa_gitmek,hoslanmak,icmek,idare_etmek,iddia_etmek,ifade_vermek,ihrac_etmek,ihtiva_etmek,ikaz_etmek,ikna_etmek,ikram_etmek,ilan_etmek,ileri_surmek,ilerlemek,ilgilenmek,imkansiz,imtihan_etmek,imtihana_girmek,imzalamak,inanmak,incelemek,inmek,insaat_yapmak,iptal_etmek,isaret_etmek,isbirligi_yapmak,isgal_etmek,isinmak,isirmak,isitmak,isitmek,ismarlamak,israr_etmek,istemek,istifa_etmek,isyan_etmek,ithal_etmek,itiraz_etmek,itmek,izah_etmek,izin_almak,izin_vermek,izlemek,kabul_etmek,kacirmak,kacmak,kahvalti_etmek,kaldirmak,kalkmak,kalmak,kamp_yapmak,kanunlasmak,kapamak,kapanmak,kar_etmek,karar_vermek,karismak,karsi_cikmak,karsilamak,karsilastirmak,katilmak,kaybetmek,kaybolmak,kaydetmek,kaygilanmak,kayit_yaptirmak,kaynaklanmak,kaza_yapmak,kaza_yaptirmak,kazanmak,kesmek,kinamak,kirada_oturmak,kiralamak,kirmak,kizmak,koklamak,kokmak,kolaylamak,kolaylasmak,kontrol_etmek,konusmak,korkmak,korumak,kosmak,kovmak,koymak,kullanmak,kurmak,kurtarmak,kuskulanmak,kutlamak,kuvvetlenmek,lazim_olmak,mahvetmek,mecbur_olmak,memnun_kalmak,memnun_olmak,merak_etmek,mesgul_olmak,meshur_olmak,meydana_cikmak,meydana_gelmek,mezun_olmak,monte_etmek,mudafaa_etmek,mudahale_etmek,munakasa_etmek,muracaat_etmek,musaade_etmek,neden_olmak,nefret_etmek,nezle_olmak,nitelendirmek,noktalamak,not_almak,not_etmek,not_tutmak,odemek,ogrenmek,ogretmek,okumak,oldurmek,olmak,olmek,olusmak,olusturmak,onaylamak,one_surmek,onem_vermek,onermek,ongormek,onlemek,opmek,ortadan_kaldirmak,ortaya_cikarmak,ortaya_koymak,oturmak,oy_vermek,oynamak,ozetlemek,ozlemek,ozur_dilemek,paniklemek,para_kazanmak,pazarlik_etmek,pisirmek,pisman_olmak,pismek,planlamak,postalamak,rahat_almak,rahatsiz_etmek,rastlamak,razi_olmak,reddetmek,rejim_yapmak,restore_etmek,rica_etmek,riske_girmek,riski_girmek,saglamak,saklamak,saldirmak,sanmak,sapmak,saptamak,sarki_soylemek,sarmak,sart,sasirmak,sasmak,satin_almak,satmak,savasmak,savunmak,saymak,selamlamak,sevinmek,sevmek,seyahat_etmek,seyretmek,siginmak,sikayet_etmek,sikilmak,sinava_girmek,sinirlamak,sohbet_etmek,sokmak,son_vermek,sona_ermek,soylemek,soz_vermek,spor_yapmak,suphe_etmek,surdurmek,surmek,takip_etmek,takmak,tanismak,tanistirmak,tasimak,tavsiye_etmek,teklif_etmek,tekrar_etmek,telefon_etmek,temas_etmek,temas_kurmak,temin_etmek,temizlemek,temsil_etmek,tercih_etmek,tercume_etmek,terfi_etmek,terlemek,tesekkur_etmek,tesir_etmek,teslim_etmek,tesvik_etmek,titremek,toplamak,toplanmak,tutmak,tutuklamak,ucmak,ugramak,ugrasmak,ulasmak,umit_etmek,ummak,unutmak,uretmek,usumek,uyanmak,uyarmak,uygulamak,uymak,uyumak,uzanmak,uzerinde_durmak,uzulmek,var_olmak,varmak,vazgecmek,vermek,vurmak,yagmak,yakalamak,yaklasmak,yakmak,yalanlamak,yanit_vermek,yanitlamak,yanitsiz_birakmak,yanmak,yapmak,yaratmak,yasaklamak,yasaklanmak,yasamak,yaslanmak,yatirmak,yatmak,yaymak,yazmak,yedirmek,yemek_yemek,yenmek,yer_almak,yer_vermek,yerine_getirmek,yetismek,yetistirmek,yikamak,yikmak,yol_acmak,yolculuk_yapmak,yollamak,yonetmek,yorulmak,yukselmek,yurumek,yurutmek,yuzmek,zahmet_etmek,zannetmek,zarar_etmek,ziyan_etmek,ziyaret_etmek,zorlamak,zorluk_cekmek,zorunda_olmak}

@DATA
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"cabuk bitirme istegi","insan","kosmak  hizli yurumek","zamaninda varmak","gec kalinca","dahaz hizli ulasma","fiziksel","fiziksel","mekan","mekan","gundelik yasam",acele_etmek
"bir isi hizla yapmak","ogrenci insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir isi hizla yapmak","ogrenci  insan","kosmak","yetismek","gec kalmak","yorulmak","fiziksel","","","","",acele_etmek
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"konuyu anlatmak","ogretmen  yonetici  mudur  arkadas","anlatarak","ogretmek","aciga kavusturma","anlamak","zihinsek","ornek","insan","soru  problem","ev  okul  isyeri  sokak",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
"bir konuyu anlatmak icin ornek vermek","hoca","detayli","ogretmek","anlasilmamak","anlamak","fiziksel","ornek","ogrenci","soru  problem","sinif",aciklamak
